controller,scenario,seed,waterLevelMAE,bandViolationRate,safetyViolationCount,totalIrrigationMm,switchCount,meanDecisionTimeMs,mpcFallbackCount
mpc,dry,17,0.706418106016218,0,0,79.0379751035955,1,0.347949652777778,0
rule,dry,18,7.03542295514547,0,0,63.8435699586282,4,0.0028359375,0
mpc,dry,18,0.711479354659234,0,0,80.2603383525718,1,0.368605034722222,0
rule,dry,19,6.6842205364577,0,0,63.9313665925902,4,0.00449609375,0
mpc,dry,19,0.694587688738548,0,0,77.9738786510848,1,0.350220052083333,0
rule,dry,20,6.87423606693268,0,0,68.4118490915533,4,0.00140711805555556,0
mpc,dry,20,0.635015263704638,0,0,78.0871872121955,1,0.457990885416667,0
rule,dry,21,6.99011278950821,0,0,64.2899796732256,4,0.00154340277777778,0
mpc,dry,21,0.719123160873603,0,0,77.9850791504888,1,0.374159722222222,0
rule,dry,22,6.93646018850382,0,0,63.5341258112203,4,0.000868055555555556,0
mpc,dry,22,0.628992964229116,0,0,77.6751200192726,1,0.364762152777778,0
rule,dry,23,7.02288847169178,0,0,62.9160126623227,4,0.000716145833333333,0
mpc,dry,23,0.59342872387302,0,0,77.2594738359758,1,0.353194444444444,0
rule,dry,24,6.95710571550115,0,0,63.5981563846148,4,0.000708767361111111,0
mpc,dry,24,0.606205481333684,0,0,77.0560378253028,1,0.361819878472222,0
rule,dry,25,6.82990181207563,0,0,63.9361848542951,4,0.000703993055555555,0
mpc,dry,25,0.464576534717374,0,0,78.3996110843168,1,0.354551649305556,0
rule,dry,26,6.95887030235609,0,0,64.0601246721258,4,0.000818576388888889,0
mpc,dry,26,0.574909760900983,0,0,76.3631344289245,1,0.372707899305556,0
rule,dry,27,6.98730874622038,0,0,63.3610197761035,4,0.000710503472222222,0
mpc,dry,27,0.656849795045085,0,0,76.3535406412031,1,0.355875,0
rule,dry,28,6.94298768760397,0,0,63.9480740714795,4,0.000676215277777778,0
mpc,dry,28,0.710340634794971,0,0,76.8389544343915,1,0.351984375,0
rule,dry,29,6.95768870479618,0,0,63.9831459699587,4,0.000714409722222222,0
mpc,dry,29,0.563777074128199,0,0,77.9840721822069,1,0.354486545138889,0
rule,dry,30,6.89939108266502,0,0,63.7769773999231,4,0.000692274305555555,0
mpc,dry,30,0.646985854039762,0,0,77.6120969155951,1,0.360076388888889,0
rule,intermittent_rain,1,11.1397436506026,0,0,0,0,0.00128298611111111,0
mpc,intermittent_rain,1,11.139743658237,0,0,1.53475027005504e-08,1,0.374862413194444,0
rule,intermittent_rain,2,3.60053440619346,0,0,0,0,0.000627604166666667,0
mpc,intermittent_rain,2,4.08640511249785,0,0,3.90034861064455,1,0.364023871527778,0
rule,intermittent_rain,3,13.254821061577,0.177083333333333,0,0,0,0.000596354166666667,0
mpc,intermittent_rain,3,13.2548210664879,0.177083333333333,0,1.36729363067827e-08,1,0.376211805555556,0
rule,intermittent_rain,4,3.16385704100705,0,0,0,0,0.00158680555555556,0
mpc,intermittent_rain,4,2.76802039122026,0,0,10.5100727098741,1,0.371158854166667,0
rule,intermittent_rain,5,27.145021428802,0.760416666666667,0,0,0,0.00166927083333333,0
mpc,intermittent_rain,5,27.1450214457044,0.760416666666667,0,2.88049794691052e-08,1,0.380194878472222,0
rule,intermittent_rain,6,6.45948989631129,0,0,28.1726563442764,2,0.001859375,0
mpc,intermittent_rain,6,1.79445203393695,0,0,25.7679791885709,1,0.365522569444444,0
rule,intermittent_rain,7,2.91211833197221,0,0,0,0,0.0006484375,0
mpc,intermittent_rain,7,3.30408353624161,0,0,1.95958908399175,1,0.368151041666667,0
rule,intermittent_rain,8,4.60718651662215,0,0,15.4659067490759,2,0.00144618055555556,0
mpc,intermittent_rain,8,3.56085439144098,0,0,13.6311815969153,1,0.382016059027778,0
rule,intermittent_rain,9,8.61150333464224,0.0729166666666666,0,0,0,0.000486111111111111,0
mpc,intermittent_rain,9,11.0276438571712,0.302083333333333,0,6.41479756780238,1,0.377309027777778,0
rule,intermittent_rain,10,5.56572633826199,0,0,0,0,0.000531684027777778,0
mpc,intermittent_rain,10,6.55411902860789,0.0625,0,3.0567853749788,1,0.372080729166667,0
rule,intermittent_rain,11,23.2142997184164,0.6875,0,0,0,0.000631944444444444,0
mpc,intermittent_rain,11,23.2142997303383,0.6875,0,2.86193380657895e-08,1,0.383869357638889,0
rule,intermittent_rain,12,6.72179782598099,0,0,0,0,0.000463107638888889,0
mpc,intermittent_rain,12,6.72179782793172,0,0,5.19909991497794e-09,1,0.361162760416667,0
rule,intermittent_rain,13,11.0230613024337,0.0625,0,0,0,0.000455729166666667,0
mpc,intermittent_rain,13,16.0530384188895,0.416666666666667,0,7.33879947557591,1,0.373368923611111,0
rule,intermittent_rain,14,17.0643622932984,0.385416666666667,0,0,0,0.000555989583333333,0
mpc,intermittent_rain,14,17.0643623100332,0.385416666666667,0,4.20428560063945e-08,1,0.39420703125,0
rule,intermittent_rain,15,27.6482705906983,0.84375,0,0,0,0.000473524305555556,0
mpc,intermittent_rain,15,27.6482706089899,0.84375,0,3.13331348189546e-08,1,0.387212673611111,0
rule,intermittent_rain,16,21.5446858735723,0.677083333333333,0,0,0,0.000517795138888889,0
mpc,intermittent_rain,16,21.5446858848416,0.677083333333333,0,2.04981590192795e-08,1,0.37029296875,0
rule,intermittent_rain,17,22.1296179993011,0.65625,0,0,0,0.000490451388888889,0
mpc,intermittent_rain,17,22.1296180209779,0.65625,0,4.16652138797671e-08,1,0.365417100694444,0
rule,intermittent_rain,18,19.4289218767599,0.489583333333333,0,0,0,0.000466579861111111,0
mpc,intermittent_rain,18,22.006293207627,0.510416666666667,0,3.65810629790234,1,0.369887586805556,0
rule,intermittent_rain,19,6.99233072923433,0,0,0,0,0.000451388888888889,0
mpc,intermittent_rain,19,6.56751468759148,0,0,4.62852516363066,1,0.349772135416667,0
