rowType,controller,scenario,metric,n,mean,std,min,max,positiveRatio,improvementRatio,lowerIsBetter
controller_summary,mpc,dry,mpcFallbackCount,30,0,0,0,0,NaN,NaN,1
controller_summary,mpc,intermittent_rain,waterLevelMAE,30,11.1358431497254,8.40846426121466,1.79445203393695,27.6482706089899,NaN,NaN,1
controller_summary,mpc,intermittent_rain,bandViolationRate,30,0.213888888888889,0.285321127422265,0,0.84375,NaN,NaN,1
controller_summary,mpc,intermittent_rain,safetyViolationCount,30,0,0,0,0,NaN,NaN,1
controller_summary,mpc,intermittent_rain,totalIrrigationMm,30,5.23700679325973,6.51763500342463,5.19909991497794e-09,25.7679791885709,NaN,NaN,1
controller_summary,mpc,intermittent_rain,switchCount,30,1,0,1,1,NaN,NaN,1
controller_summary,mpc,intermittent_rain,meanDecisionTimeMs,30,0.368104340277778,0.0133004436104854,0.34803125,0.396148871527778,NaN,NaN,1
controller_summary,mpc,intermittent_rain,mpcFallbackCount,30,0,0,0,0,NaN,NaN,1
controller_summary,mpc,heavy_rain,waterLevelMAE,30,19.302797182867,11.9036404798458,5.00431907960399,44.0630982638246,NaN,NaN,1
controller_summary,mpc,heavy_rain,bandViolationRate,30,0.393402777777778,0.290260920311078,0,0.885416666666667,NaN,NaN,1
controller_summary,mpc,heavy_rain,safetyViolationCount,30,0,0,0,0,NaN,NaN,1
controller_summary,mpc,heavy_rain,totalIrrigationMm,30,5.29639412535105,6.28491256219543,4.69384937254586e-09,24.3818356525069,NaN,NaN,1
controller_summary,mpc,heavy_rain,switchCount,30,1.56666666666667,1.04000442085709,1,5,NaN,NaN,1
controller_summary,mpc,heavy_rain,meanDecisionTimeMs,30,0.367208883101852,0.0216219743969649,0.31682421875,0.418772135416667,NaN,NaN,1
controller_summary,mpc,heavy_rain,mpcFallbackCount,30,6.13333333333333,11.5093165659865,0,42,NaN,NaN,1
controller_summary,mpc,infiltration_shift,waterLevelMAE,30,0.556296402222511,0.109431294929438,0.43904297624103,0.933434196227008,NaN,NaN,1
controller_summary,mpc,infiltration_shift,bandViolationRate,30,0,0,0,0,NaN,NaN,1
controller_summary,mpc,infiltration_shift,safetyViolationCount,30,0,0,0,0,NaN,NaN,1
controller_summary,mpc,infiltration_shift,totalIrrigationMm,30,36.923486515182,2.7488249167688,31.1320188771941,43.6004913126502,NaN,NaN,1
controller_summary,mpc,infiltration_shift,switchCount,30,1,0,1,1,NaN,NaN,1
controller_summary,mpc,infiltration_shift,meanDecisionTimeMs,30,0.362833478009259,0.00870999912255998,0.348381944444444,0.383806423611111,NaN,NaN,1
controller_summary,mpc,infiltration_shift,mpcFallbackCount,30,0,0,0,0,NaN,NaN,1
controller_summary,mpc,sensor_noise,waterLevelMAE,30,5.81031842576213,0.931539187348161,3.73645760663172,7.11797821071979,NaN,NaN,1
controller_summary,mpc,sensor_noise,bandViolationRate,30,0,0,0,0,NaN,NaN,1
controller_summary,mpc,sensor_noise,safetyViolationCount,30,0,0,0,0,NaN,NaN,1
controller_summary,mpc,sensor_noise,totalIrrigationMm,30,42.9133786624732,3.5586298402743,31.5442107227754,48.8408227908989,NaN,NaN,1
controller_summary,mpc,sensor_noise,switchCount,30,1,0,1,1,NaN,NaN,1
controller_summary,mpc,sensor_noise,meanDecisionTimeMs,30,0.361717607060185,0.0090953830674486,0.348122829861111,0.380437065972222,NaN,NaN,1
controller_summary,mpc,sensor_noise,mpcFallbackCount,30,0,0,0,0,NaN,NaN,1
controller_summary,mpc,actuator_delay,waterLevelMAE,30,1.51893431227266,0.408068192679316,0.673114389172023,2.37626111685814,NaN,NaN,1
controller_summary,mpc,actuator_delay,bandViolationRate,30,0,0,0,0,NaN,NaN,1
controller_summary,mpc,actuator_delay,safetyViolationCount,30,0,0,0,0,NaN,NaN,1
controller_summary,mpc,actuator_delay,totalIrrigationMm,30,38.0203192560081,3.08349142731493,33.2380330603252,44.855182056568,NaN,NaN,1
controller_summary,mpc,actuator_delay,switchCount,30,1,0,1,1,NaN,NaN,1
controller_summary,mpc,actuator_delay,meanDecisionTimeMs,30,0.406071961805556,0.0796417307496338,0.348973958333333,0.739721354166667,NaN,NaN,1
controller_summary,mpc,actuator_delay,mpcFallbackCount,30,0,0,0,0,NaN,NaN,1
paired_delta,mpc_vs_rule,dry,delta_waterLevelMAE,30,-6.32001506865294,0.127059089821714,-6.73227959489795,-5.98963284771915,0,1,1
paired_delta,mpc_vs_rule,dry,delta_bandViolationRate,30,0,0,0,0,0,0,1
paired_delta,mpc_vs_rule,dry,delta_safetyViolationCount,30,0,0,0,0,0,0,1
paired_delta,mpc_vs_rule,dry,delta_totalIrrigationMm,30,13.5113787282625,1.68440916871232,9.63513704064049,16.854158404088,1,0,1
paired_delta,mpc_vs_rule,dry,delta_switchCount,30,-3.03333333333333,0.182574185835055,-4,-3,0,1,1
