scenario,seed,delta_waterLevelMAE,delta_bandViolationRate,delta_safetyViolationCount,delta_totalIrrigationMm,delta_switchCount,delta_meanDecisionTimeMs,delta_mpcFallbackCount
dry,1,-6.3131598105406,0,0,14.1609205502446,-3,0.40304296875,0
dry,2,-6.269896158326,0,0,14.8849081876179,-3,0.438275607638889,0
dry,3,-6.37191612211037,0,0,11.6698206049143,-3,0.383147135416667,0
dry,4,-6.33862733970249,0,0,13.0549833060329,-3,0.365033420138889,0
dry,5,-6.29506459434918,0,0,14.9144218306777,-3,0.504598958333333,0
dry,6,-6.19038829734054,0,0,12.0008457761693,-3,0.379672743055556,0
dry,7,-6.31631789326001,0,0,12.745798548049,-3,0.37527734375,0
dry,8,-6.52402009745748,0,0,9.63513704064049,-4,0.369608940972222,0
dry,9,-6.73227959489795,0,0,15.0548935446703,-3,0.360865885416667,0
dry,10,-6.23695857933313,0,0,13.957246940492,-3,0.419446180555555,0
dry,11,-6.28944650935221,0,0,14.4411395654084,-3,0.476435763888889,0
dry,12,-6.31918907161634,0,0,12.3349358233652,-3,0.510234809027778,0
dry,13,-6.25112702497984,0,0,16.854158404088,-3,0.598756076388889,0
dry,14,-6.27000939412615,0,0,10.6029440143484,-3,0.431006944444444,0
dry,15,-6.53025897147755,0,0,15.1231949722085,-3,0.35646484375,0
dry,16,-6.29818277748693,0,0,13.0102526599946,-3,0.667086371527778,0
dry,17,-6.18328705481149,0,0,14.6378222634651,-3,0.346053385416667,0
dry,18,-6.32394360048624,0,0,16.4167683939436,-3,0.365769097222222,0
dry,19,-5.98963284771915,0,0,14.0425120584946,-3,0.345723958333333,0
dry,20,-6.23922080322804,0,0,9.67533812064219,-3,0.456583767361111,0
dry,21,-6.27098962863461,0,0,13.6950994772631,-3,0.372616319444444,0
dry,22,-6.3074672242747,0,0,14.1409942080523,-3,0.363894097222222,0
dry,23,-6.42945974781876,0,0,14.3434611736531,-3,0.352478298611111,0
dry,24,-6.35090023416747,0,0,13.4578814406879,-3,0.361111111111111,0
dry,25,-6.36532527735826,0,0,14.4634262300217,-3,0.35384765625,0
dry,26,-6.38396054145511,0,0,12.3030097567987,-3,0.371889322916667,0
dry,27,-6.3304589511753,0,0,12.9925208650996,-3,0.355164496527778,0
dry,28,-6.232647052809,0,0,12.890880362912,-3,0.351308159722222,0
dry,29,-6.39391163066798,0,0,14.0009262122483,-3,0.353772135416667,0
dry,30,-6.25240522862525,0,0,13.835119515672,-3,0.359384114583333,0
intermittent_rain,1,7.63444951701331e-09,0,0,1.53475027005504e-08,1,0.373579427083333,0
intermittent_rain,2,0.485870706304383,0,0,3.90034861064455,1,0.363396267361111,0
intermittent_rain,3,4.91091789456277e-09,0,0,1.36729363067827e-08,1,0.375615451388889,0
