timeStep,waterLevel_Rule,waterLevel_MPC,action_Rule,action_MPC,rainfall,ET,actualInfiltration
1,39.1395411999716,39.1395411999716,0,1.0078560150879,0,0.55090844215462,0.309550357873774
2,38.3084753658383,39.30433951942,0,1.92253772346423,0.118116604196553,0.624738899643698,0.324443538686122
3,37.4323005576965,40.3987386375315,0,2.03030358669489,0,0.52876016332794,0.347414644813948
4,36.4956966823212,41.4947004071859,0,0.595821596553823,0,0.634312157768014,0.302291717607266
5,35.6218408022099,41.2191061206099,0,0.102366381516956,0,0.568274494242224,0.305581385869072
6,34.8116522649805,40.5159870277967,0,3.84605772338245e-12,0,0.495146940757297,0.315041596472066
7,33.8703467519795,39.5746815147996,0,0.45562815134648,0,0.646510651978898,0.294794861022106
8,33.0075578313116,39.14621206782,0,1.11080413735302,0.0178380225849766,0.581146807337699,0.299480135915197
9,32.1227591376348,39.3954763339939,0,1.71677185432293,0,0.582864216707896,0.301934476968931
10,31.401689710665,40.3851703142075,0,1.9186938680475,0.0586442621667069,0.476830828502402,0.302882860634112
11,30.4718687608735,41.4599141734142,0,0.85776912799307,0,0.592696771994032,0.337124177797431
12,29.650869683244,41.472789583721,0,6.44865035447108e-08,0.0800320709801823,0.579024450897651,0.322006697712034
13,28.8540818761604,40.6760018396218,0,0.267646009507151,0,0.504069951109825,0.292717855973804
14,28.0424861662332,40.1208504568843,0,0.247882245090169,0.0875874147834533,0.589743254978378,0.309439869732258
15,27.183391547391,39.5078686706314,0,1.07958250661289,0,0.575876755411429,0.283217863430767
16,26.3358148332541,39.6976648128296,0,0.914843629165688,0.0166813439453503,0.574730723968408,0.289527334113815
17,25.4803936712276,39.76932667653,0,0.815734724267543,0,0.583196487478881,0.272224674547639
18,24.6658173103432,39.7951988032034,0,1.38929701346643,0,0.514491400857364,0.300084960027015
19,24.0267719697747,40.5727919102521,4,1.51252122931081,0.117517126546302,0.484658118070994,0.27190434904384
20,27.4706716229783,41.4629932768724,4,0.763663190167253,0.202916018474976,0.512920560053431,0.352580357648205
21,30.6146456519409,41.421617649121,4,2.4134560283784e-11,0,0.476617037500033,0.316390581474785
22,34.0118040387079,40.680435442702,4,8.17352890857489e-11,0.0603658445825815,0.530416264855751,0.271131786170871
