retriever,abstention_accuracy,balanced_abstention_accuracy,citation_coverage,citation_id_validity,citation_precision,false_abstain_rate,false_answer_rate,in_domain_answer_recall,mrr@1,mrr@10,mrr@3,ndcg@1,ndcg@10,ndcg@3,ood_recall,recall@1,recall@10,recall@3
bm25,1.0,1.0,0.769231,1.0,0.833333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.883333,1.0,1.0
hybrid,0.875,0.833333,1.0,1.0,0.52,0.0,0.333333,1.0,0.9,0.95,0.95,0.9,0.955065,0.955065,0.666667,0.783333,1.0,1.0
