Episode,EpisodeReward,EpisodeSteps,AverageReward,GlobalStepCount
201,-11.3804206646956,96,-64.3070762071435,19296
202,-4.38847282904799,96,-42.3187342136863,19392
203,-2.31828415024222,96,-21.6778772413792,19488
204,-287.808072835338,96,-50.0849049889617,19584
205,-326.750751889004,96,-81.3924215116294,19680
206,-2.18354521281821,96,-81.4617310590169,19776
207,-10.1852544185752,96,-82.2470919570973,19872
208,-1.93798643909004,96,-80.9948522816286,19968
209,-1.31648040872067,96,-65.4701108162533,20064
210,-13.5194664441409,96,-66.1788735291673,20160
211,-22.1997219291057,96,-67.2608036556083,20256
212,-2.35220637803596,96,-67.0571770105071,20352
213,-13.7354234090373,96,-68.1988909363866,20448
214,-0.9200806714941,96,-39.5100917200022,20544
215,-2.34230998500995,96,-7.06924752960281,20640
216,-247.145634526291,96,-31.5654564609501,20736
217,-157.330599923006,96,-46.2799910113931,20832
218,-3.46055523962105,96,-46.4322478914462,20928
219,-12.9891079823085,96,-47.599510648805,21024
220,-2.59455543521951,96,-46.5070195479129,21120
221,-1.34500000252142,96,-44.4215473552545,21216
222,-335.846935364922,96,-77.7710202539431,21312
223,-389.03203286978,96,-115.300681200017,21408
224,-1.84590797645204,96,-115.393263930513,21504
225,-18.5358533188989,96,-117.012618263902,21600
226,-1.04647351622416,96,-92.4027021628953,21696
227,-3.3422943253472,96,-77.0038716031295,21792
228,-239.315326293117,96,-100.589348708479,21888
229,-283.208442395553,96,-127.611282149804,21984
230,-2.14580663192096,96,-127.566407269474,22080
231,-13.0118092776201,96,-128.733088196984,22176
232,-2.97998048180682,96,-95.446392708672,22272
233,-2.33373238176243,96,-56.7765626598703,22368
234,-94.6491292365365,96,-66.0568847858787,22464
235,-196.212123487854,96,-83.8245118027743,22560
236,-1.85081873940537,96,-83.9049463250924,22656
237,-9.90304342637432,96,-84.5610212351951,22752
238,-0.998458102932044,96,-60.7293344161766,22848
239,-2.30157559821876,96,-32.6386477364431,22944
240,-114.432864218983,96,-43.8673534951493,23040
241,-293.048320205726,96,-71.8710045879599,23136
242,-1.65770922516117,96,-71.7387774622954,23232
243,-10.1179975109568,96,-72.5172039752148,23328
244,-1.04280055363089,96,-63.1565711069242,23424
245,-1.21730402241166,96,-43.65708916038,23520
246,-302.531063769208,96,-73.7251136633602,23616
247,-331.708533802308,96,-105.905662700954,23712
248,-0.918359144007195,96,-105.897652805061,23808
249,-9.66264993704394,96,-106.633760238944,23904
250,-1.23154462103676,96,-95.313628279149,24000
251,-4.27287472743565,96,-66.43608373132,24096
252,-45.9855841475304,96,-70.8688712235569,24192
253,-89.4772849764259,96,-78.8047999701038,24288
254,-3.74148332099875,96,-79.0746682468406,24384
255,-8.80233950513763,96,-79.8331717951132,24480
256,-0.972862116275841,96,-49.67735162982,24576
257,-1.2905531378152,96,-16.6355535633707,24672
258,-243.072197767113,96,-40.8509374256813,24768
259,-195.533327112927,96,-59.4380051432696,24864
260,-1.14858592209902,96,-59.4297092733758,24960
261,-11.721263221727,96,-60.1745481228049,25056
262,-0.917497084755025,96,-55.6677394165274,25152
263,-1.31332348771546,96,-46.8513432676564,25248
264,-7.10936258259802,96,-47.1881311938163,25344
265,-220.698411497034,96,-68.3777383930059,25440
266,-3.74185392319159,96,-68.6546375736975,25536
267,-12.1813509113533,96,-69.7437173510513,25632
268,-0.932556841917387,96,-45.5297532585318,25728
269,-4.37686372361338,96,-26.4141069196004,25824
270,-266.36789945303,96,-52.9360382726935,25920
271,-394.556511062195,96,-91.2195630567403,26016
272,-1.27165713367885,96,-91.2549790616327,26112
273,-17.2622815337239,96,-92.8498748662336,26208
274,-3.13712917737753,96,-92.4526515257115,26304
275,-1.30196043108235,96,-70.5130064191164,26400
276,-170.028831292912,96,-87.1417041560883,26496
277,-398.94427849655,96,-125.817996914608,26592
278,-0.90885076468472,96,-125.815626306885,26688
279,-11.390147263963,96,-126.51695466092,26784
280,-0.917457592706197,96,-99.9719104748873,26880
281,-1.27801191153827,96,-60.6440605598216,26976
282,-87.5897821426728,96,-69.275873060721,27072
283,-138.078613417039,96,-81.3575062490525,27168
284,-1.86171450717164,96,-81.2299647820319,27264
285,-13.5377421070577,96,-82.4535429496295,27360
286,-0.910290540944368,96,-65.5416888744327,27456
287,-3.30192425374328,96,-25.9774534501521,27552
288,-275.222915408683,96,-53.4088599145519,27648
289,-256.837846025974,96,-77.953629790753,27744
290,-14.9449639279116,96,-79.3563804242735,27840
291,-17.2828279006655,96,-80.9568620231862,27936
292,-0.872744821859213,96,-72.2851582911049,28032
293,-1.28997816725641,96,-58.6062947661266,28128
294,-186.480809798332,96,-77.0682042952427,28224
295,-71.1450514385098,96,-82.8289352283879,28320
296,-5.77067864610289,96,-83.3149740389037,28416
297,-17.3632182524092,96,-84.7211034387703,28512
298,-1.23816320591424,96,-57.3226282184935,28608
299,-1.29628839434016,96,-31.7684724553301,28704
300,-20.5680356500013,96,-32.3307796275391,28800
301,-7.9296195556379,96,-31.3954587930363,28896
302,-1.81866463913707,96,-31.4900507747641,28992
303,-16.5338995009771,96,-33.0144429081362,29088
304,-0.965070731083036,96,-14.4628690014113,29184
305,-1.3840487703864,96,-7.48676873459893,29280
306,-138.882489173528,96,-20.7979497873414,29376
307,-258.312530654364,96,-44.892881027537,29472
308,-1.18371307729501,96,-44.887436014675,29568
309,-19.7845764074494,96,-46.736264815986,29664
310,-1.17369499777107,96,-44.7968307507629,29760
311,-5.34657674569971,96,-44.5385264697691,29856
312,-235.815249333157,96,-67.9381849391711,29952
313,-282.001384302064,96,-94.4849334192798,30048
314,-2.83078466650687,96,-94.6715048128222,30144
315,-12.0480487651147,96,-95.737904812295,30240
316,-1.04302532668384,96,-81.9539584276106,30336
317,-3.33679386097944,96,-56.4563847482721,30432
318,-159.682388759751,96,-72.3062523165177,30528
